BehaviorSpace results (NetLogo 5.0.4),,,,,,,,,,,,,,,,num-cliques,social-butterflies?,,,,infection-chance
Safe_Sex_Attitudes_and_Behaviors-modelingcommons-tue.nlogo,,,,min-pxcor,max-pxcor,,,,,,,,,,,5,FALSE,,,,30
infect-1-5cliquesof7-4friends-nobutterflies-femalesymp,,,,-15,15,,,,,,,,,,,clique-size,,avg-female-condom-intention,,,symptomatic?
06/23/2013 20:20:59:378 -0700,,,,min-pycor,max-pycor,,,,,,,,,,,7,,80,,,"""females-symptomatic?"""
,,,,-15,15,,,,,,,,,,,avg-num-friends,,avg-male-condom-intention,,,show-labels?
,,,,,,,,,,,,,,,,4,,20,,,FALSE
,,,,,,,,,,,,,,,,,,,,,
[run number],%-receive-condom-sex-ed,avg-mesosystem-condom-encouragement,[step],%infected,%M-infected,%F-infected,avg-safe-sex-likelihood,avg-attitude,avg-justification,avg-certainty,,avg-male-safe-sex-likelihood,avg-female-safe-sex-likelihood,avg-male-attitude,avg-female-attitude,avg-male-justification,avg-female-justification,,,avg-male-certainty,avg-female-certainty
99,30,20,835,2.857142857,0,5.882352941,39.08463595,51.74070048,2.857142857,99.99739916,,24.80593094,54.2032648,24.61186187,80.46535312,0,5.882352941,,,99.99494282,100
100,30,20,819,2.857142857,0,5.882352941,39.31200518,52.19543894,2.857142857,99.99906815,,25.90161464,53.51124223,26.80322929,79.08130798,0,5.882352941,,,100,99.99808149
101,30,30,734,2.857142857,0,5.882352941,38.04335612,49.65814082,2.857142857,99.99914251,,23.85129061,53.07024903,22.70258121,78.19932158,0,5.882352941,,,100,99.99823459
102,30,30,735,22.85714286,5.555555556,41.17647059,44.54501839,54.09003041,20,99.99913819,,23.28130706,67.05953628,21.56261412,88.53082412,0,41.17647059,,,100,99.99822569
103,30,30,758,28.57142857,5.555555556,52.94117647,46.31450211,54.77186136,25.71428571,99.99749717,,23.29915595,70.68369216,21.59831191,89.89679608,0,52.94117647,,,99.99513338,100
104,30,30,745,2.857142857,0,5.882352941,38.2822761,50.13598077,2.857142857,99.99951209,,24.51854499,52.85563845,24.03708999,77.77010043,0,5.882352941,,,100,99.99899549
105,30,30,762,31.42857143,5.555555556,58.82352941,47.80857487,56.33141677,28.57142857,99.99991401,,24.14731041,72.86167841,23.29462082,91.31155366,0,58.82352941,,,100,99.99982295
106,30,40,684,31.42857143,5.555555556,58.82352941,48.23462906,57.18354384,28.57142857,99.99737091,,25.74804652,72.04395176,26.49609303,89.67613881,0,58.82352941,,,100,99.99458717
107,30,40,666,2.857142857,0,5.882352941,39.14286712,51.85716281,2.857142857,99.9987257,,25.55344465,53.53166738,26.1068893,79.12215829,0,5.882352941,,,99.99752219,100
108,30,40,675,2.857142857,0,5.882352941,39.3399316,52.25129177,2.857142857,99.9983025,,24.09283355,55.48391777,23.18566709,83.02665907,0,5.882352941,,,100,99.99650515
109,30,40,730,20,5.555555556,35.29411765,45.45659913,56.63500768,18.55638114,99.99872785,,27.17753063,64.81090694,27.98080182,86.97475507,2.748518885,35.29411765,,,99.99752637,100
110,30,40,671,2.857142857,0,5.882352941,39.05338207,51.67819271,2.857142857,99.99989559,,24.25249633,54.72490814,23.50499266,81.50863982,0,5.882352941,,,99.99979699,100
111,30,50,563,17.14285714,5.555555556,29.41176471,44.21549744,55.34515254,16.17168467,99.99930074,,26.02576949,63.47520939,25.21795665,87.24453642,3.667164634,29.41176471,,,99.99864033,100
112,30,50,569,20,5.555555556,35.29411765,45.11148186,56.12387457,18.19817828,99.99848729,,27.38911357,63.8763424,28.75222047,85.10562597,2.052013321,35.29411765,,,99.99705863,100
113,30,50,639,22.85714286,5.555555556,41.17647059,44.27749628,53.55496642,20,99.99802746,,24.61618259,65.09535783,24.23236519,84.60242654,0,41.17647059,,,100,99.99593889
114,30,50,587,2.857142857,0,5.882352941,38.43888797,50.44920451,2.857142857,99.99723314,,23.67863694,54.06738906,22.35727388,80.19360165,0,5.882352941,,,99.99461999,100
115,30,50,624,2.857142857,0,5.882352941,38.73297089,51.03737035,2.857142857,99.99975739,,23.81165905,54.53200695,22.62331811,81.12283742,0,5.882352941,,,99.99952826,100
116,30,60,494,2.857142857,0,5.882352941,38.95391573,51.47926004,2.857142857,99.99976049,,25.13288057,53.58795297,25.26576113,79.23472947,0,5.882352941,,,100,99.9995069
117,30,60,513,28.57142857,5.555555556,52.94117647,47.16546134,56.47377983,25.71428571,99.99773833,,25.04887842,70.58301973,25.09775685,89.69545123,0,52.94117647,,,99.99560231,100
118,30,60,513,2.857142857,0,5.882352941,37.78126406,49.1339567,2.857142857,99.99837756,,24.24612796,52.11258464,23.49225591,76.28399282,0,5.882352941,,,100,99.99665968
119,30,60,540,22.85714286,5.555555556,41.17647059,45.85001874,56.21549905,20.96907686,99.99714988,,26.13906567,66.72043963,26.33597329,87.85264397,1.884316108,41.17647059,,,99.99445811,100
120,30,60,480,2.857142857,0,5.882352941,37.96803781,49.5075042,2.857142857,99.99772582,,23.40297937,53.38986441,21.80595873,78.83855234,0,5.882352941,,,99.99557799,100
121,30,70,489,20,5.555555556,35.29411765,43.16537287,52.75931716,17.14285714,99.99796311,,23.76081242,63.71137805,22.52162484,84.77569727,0,35.29411765,,,99.99603939,100
122,30,70,430,2.857142857,0,5.882352941,39.07713954,51.72570765,2.857142857,99.99922447,,24.42902995,54.58690262,23.85805991,81.23262878,0,5.882352941,,,99.99849202,100
123,30,70,419,2.857142857,0,5.882352941,38.42017735,50.41178327,2.857142857,99.99808052,,24.15427237,53.52525321,23.30854475,79.10932995,0,5.882352941,,,99.99626767,100
124,30,70,378,17.14285714,5.555555556,29.41176471,43.96250818,54.98347265,15.88308743,99.99879856,,26.93604434,61.99052872,27.31908701,84.2751751,3.106003335,29.41176471,,,99.99766388,100
